2,-0.08,0.002,0.002,-0.482625483,0.002655029,98.6
4,-0.075,-0.045,-0.045,-0.530888031,0.001403809,98.59654594
6,-0.068,-0.03,-0.03,-0.434362934,0.006652832,98.59986898
8,-0.066,0.004,0.004,-0.627413127,0.003295898,98.5963665
10,-0.066,-0.041,-0.041,-0.579150579,0.019317627,98.59816196
12,-0.064,-0.069,-0.069,-0.675675676,-0.035095215,98.60066286
14,-0.061,-0.066,-0.066,-0.627413127,-0.05670166,98.59581176
16,-0.061,0.03,0.03,-0.627413127,0.175170898,98.59223423
18,-0.057,-0.033,-0.033,-0.579150579,0.161987305,98.58754078
20,-0.052,-0.027,-0.027,-0.434362934,-0.211029053,98.59062774
22,-0.048,0,0,-0.579150579,-0.643218994,98.5860992
24,-0.045,-0.003,-0.003,-0.482625483,0.182342529,98.58776101
26,-0.045,0.009,0.009,-0.530888031,0.747283936,98.58732134
28,-0.044,-0.09,-0.09,-0.579150579,0.050598145,98.5903513
30,-0.041,-0.064,-0.064,-0.530888031,-0.366455078,98.58893569
32,-0.038,-0.013,-0.013,-0.579150579,-0.726379395,98.58418903
34,-0.037,-0.034,-0.034,-0.530888031,-0.086273193,98.58137491
36,-0.038,-0.006,-0.006,-0.482625483,0.459533691,98.58348406
38,-0.04,-0.043,-0.043,-0.530888031,0.608612061,98.58397327
40,-0.039,0.041,0.041,-0.530888031,0.311340332,98.5876702
42,-0.037,0.015,0.015,-0.482625483,0.092773438,98.59005856
44,-0.038,-0.061,-0.061,-0.482625483,-0.436462402,98.58609086
46,-0.041,0.007,0.007,-0.530888031,-0.631011963,98.59080519
48,-0.044,0.056,0.056,-0.434362934,-0.477661133,98.59319232
50,-0.043,0.039,0.039,-0.482625483,-0.126525879,98.58833089
52,-0.045,-0.042,-0.042,-0.482625483,0.502075195,98.59012211
54,-0.041,-0.03,-0.03,-0.482625483,0.502258301,98.58997714
56,-0.037,0.032,0.032,-0.386100386,0.621673584,98.58532432
58,-0.03,0.009,0.009,-0.482625483,0.290466309,98.58146872
60,-0.026,-0.048,-0.048,-0.434362934,-0.193023682,98.57723497
62,-0.027,-0.053,-0.053,-0.386100386,-0.514678955,98.57831321
64,-0.028,0.028,0.028,-0.579150579,-0.502563477,98.57564787
66,-0.025,0.018,0.018,-0.337837838,-0.142852783,98.57206799
68,-0.015,-0.087,-0.087,-0.482625483,-0.106994629,98.57236972
70,-0.007,-0.018,-0.018,-0.434362934,0.240783691,98.57667273
72,0,-0.038,-0.038,-0.434362934,0.34866333,98.57784176
74,0.007,0,0,-0.386100386,0.199310303,98.57974068
76,0.011,-0.089,-0.089,-0.482625483,0.075317383,98.57708494
78,0.009,-0.064,-0.064,-0.386100386,-0.046020508,98.57415338
80,0.002,-0.009,-0.009,-0.579150579,-0.112335205,98.56952704
82,-0.001,-0.007,-0.007,-0.482625483,-0.088104248,98.57116069
84,-0.007,-0.065,-0.065,-0.530888031,-0.022583008,98.57123323
86,-0.018,-0.034,-0.034,-0.482625483,0.027648926,98.57109124
88,-0.028,-0.001,-0.001,-0.530888031,0.0284729,98.57470819
90,-0.034,-0.046,-0.046,-0.579150579,-0.003295898,98.57936334
92,-0.041,-0.049,-0.049,-0.482625483,-0.032409668,98.58196022
94,-0.046,-0.01,-0.01,-0.579150579,-0.039672852,98.57942701
96,-0.046,-0.01,-0.01,-0.530888031,-0.019439697,98.58118969
98,-0.045,0.003,0.003,-0.627413127,0.005706787,98.58378274
100,-0.046,-0.088,-0.088,-0.579150579,0.024017334,98.58464464
102,-0.047,-0.015,-0.015,-0.579150579,0.020965576,98.58786903
104,-0.046,0.049,0.049,-0.579150579,0.01449585,98.59213738
106,-0.046,0.154,0.154,-0.530888031,0.006103516,98.59351305
108,-0.047,0.23,0.23,-0.579150579,0.008392334,98.58870243
110,-0.044,0.338,0.338,-0.530888031,0.011901855,98.58554584
112,-0.042,0.16,0.16,-0.627413127,0.009033203,98.58081324
114,-0.045,0.016,0.016,-0.530888031,0.003112793,98.58516323
116,-0.045,-0.062,-0.062,-0.627413127,-0.003112793,98.5850079
118,-0.045,-0.131,-0.131,-0.530888031,-0.007873535,98.58795576
