Time,ECG Lead1,ECG Lead2,ECG Lead 3,BP1,Heart Beat,Temp 
166,0.415595544,0.264900662,1.152542373,-0.482625483,0.000549316,98.59639797
168,0.419880034,0.274006623,1.016057092,-0.530888031,0.00177002,98.60073876
170,0.449871465,0.283940397,0.94647636,-0.530888031,0.00579834,98.6016805
172,0.463581834,0.28807947,0.927743087,-0.579150579,0.003295898,98.60261141
174,0.484147386,0.268211921,0.934879572,-0.482625483,0.001708984,98.60499872
176,0.481576692,0.224337748,0.927743087,-0.482625483,0.000762939,98.60372515
178,0.491859469,0.125827815,0.888492417,-0.579150579,0,98.60325786
180,0.488431877,0.101821192,0.93220339,-0.530888031,0.002838135,98.60335161
182,0.401885176,0.081953642,1.008028546,-0.579150579,0.004058838,98.60763872
184,0.354755784,0.059602649,1.02765388,-0.482625483,0.001403809,98.6071466
186,0.357326478,0.052980132,1.042818912,-0.482625483,0.000183105,98.60852095
188,0.369323051,0.052152318,1.052631579,-0.482625483,0.000366211,98.60811459
190,0.346186804,0.051324503,1.060660125,-0.482625483,0.002166748,98.60865233
192,0.349614396,0.050496689,1.079393399,-0.482625483,0.004638672,98.60406466
194,0.358183376,0.055463576,1.078501338,-0.434362934,0.003601074,98.60708668
196,0.34361611,0.06705298,1.09455843,-0.579150579,0.000549316,98.6088018
198,0.345329906,0.065397351,1.101694915,-0.530888031,0,98.60580507
200,0.363324764,0.076986755,1.09455843,-0.579150579,0.000640869,98.60095094
202,0.340188518,0.060430464,1.114183764,-0.530888031,0.004364014,98.6035826
204,0.335047129,0.067880795,1.127564674,-0.530888031,0.00177002,98.60425771
206,0.35218509,0.074503311,1.131132917,-0.482625483,0.004577637,98.60579985
208,0.335047129,0.071192053,1.139161463,-0.530888031,-0.000244141,98.60714726
210,0.3479006,0.090231788,1.156110616,-0.530888031,-0.000244141,98.60949056
212,0.359040274,0.083609272,1.144513827,-0.482625483,-0.001403809,98.61336382
214,0.341045416,0.088576159,1.156110616,-0.530888031,0.000366211,98.61502291
216,0.33933162,0.079470199,1.173059768,-0.386100386,0.002075195,98.61122966
218,0.357326478,0.088576159,1.164139161,-0.530888031,0.007049561,98.61336702
220,0.353898886,0.099337748,1.165923283,-0.434362934,0.004364014,98.61283929
222,0.346186804,0.087748344,1.178412132,-0.482625483,0.002349854,98.61424911
224,0.362467866,0.095198675,1.177520071,-0.530888031,-0.000823975,98.61573807
226,0.351328192,0.091887417,1.181980375,-0.482625483,0.002471924,98.61752183
228,0.353041988,0.094370861,1.200713649,-0.530888031,0.002288818,98.6131101
230,0.36503856,0.110927152,1.177520071,-0.434362934,0.003997803,98.61034964
232,0.35646958,0.100165563,1.185548617,-0.627413127,0.000244141,98.60702945
234,0.349614396,0.115066225,1.212310437,-0.530888031,0.001220703,98.61131474
236,0.357326478,0.193708609,1.195361285,-0.482625483,0.002075195,98.61146705
238,0.227934876,0.410596026,1.786797502,-0.579150579,0.002166748,98.61320069
240,0.269065981,0.574503311,2.060660125,-0.482625483,0.003234863,98.61487869
242,0.705227078,1.482615894,0.776984835,-0.627413127,0.015716553,98.61069331
244,1.334190231,1.623344371,-0.001784121,-0.482625483,-0.034698486,98.60794404
246,1.371893745,0.103476821,-0.672613738,-0.530888031,0.001403809,98.60578593
248,0.942587832,-0.569536424,-0.214094558,-0.482625483,0.09942627,98.60992357
250,0.658954584,-0.54884106,0.438893845,-0.482625483,0.068908691,98.60721459
252,0.480719794,-0.42384106,0.884032114,-0.579150579,-0.185180664,98.60470079
254,0.384747215,-0.292218543,1.033898305,-0.482625483,-0.303131104,98.6064637
256,0.305912596,-0.160596026,1.133809099,-0.530888031,0.337982178,98.6079486
258,0.24764353,-0.150662252,1.205173952,-0.579150579,0.38659668,98.60998537
260,0.257926307,-0.129139073,1.204281891,-0.434362934,-0.212280273,98.61335641
262,0.236503856,-0.131622517,1.209634255,-0.579150579,-0.380889893,98.61562936
264,0.22193659,-0.150662252,1.227475468,-0.434362934,-0.164276123,98.61082371
266,0.232219366,-0.141556291,1.212310437,-0.530888031,0.19052124,98.61166117
268,0.221079692,-0.145695364,1.214986619,-0.530888031,0.423217773,98.61586994
270,0.205655527,-0.153145695,1.217662801,-0.530888031,0.294372559,98.61178672
272,0.221079692,-0.143211921,1.212310437,-0.530888031,-0.071502686,98.61233233
274,0.217652099,-0.145695364,1.206066012,-0.482625483,-0.416931152,98.61664035
276,0.207369323,-0.144039735,1.221231044,-0.482625483,-0.435699463,98.61363488
278,0.222793488,-0.132450331,1.210526316,-0.434362934,-0.189575195,98.61388808
280,0.220222793,-0.137417219,1.213202498,-0.482625483,0.139312744,98.61015547
282,0.203941731,-0.129966887,1.226583408,-0.482625483,0.399200439,98.61264274
284,0.236503856,-0.116721854,1.23015165,-0.482625483,0.431518555,98.61078943
286,0.23479006,-0.112582781,1.237288136,-0.434362934,0.247192383,98.60766117
288,0.216795201,-0.104304636,1.257805531,-0.434362934,-0.046325684,98.61246512
